Month,Year,Temperature
1,1895,26.5
2,1895,21.8
3,1895,35
4,1895,47.5
5,1895,59.5
6,1895,70.6
7,1895,69.4
8,1895,72.9
9,1895,68.1
10,1895,48.1
11,1895,43.4
12,1895,34.9
1,1896,26.5
2,1896,30
3,1896,32.2
4,1896,51.4
5,1896,64
6,1896,67.1
7,1896,73.7
8,1896,72.1
9,1896,63.5
10,1896,50
11,1896,46.3
12,1896,29.5
1,1897,27.1
2,1897,30.7
3,1897,39.1
4,1897,48.9
5,1897,59.2
6,1897,65
7,1897,73.3
8,1897,69.8
9,1897,63.9
10,1897,54.1
11,1897,41.9
12,1897,33.4
1,1898,31
2,1898,31.2
3,1898,43.8
4,1898,46.2
5,1898,57.7
6,1898,68.9
7,1898,74.2
8,1898,73.3
9,1898,66.9
10,1898,54.6
11,1898,40.2
12,1898,31.3
1,1899,28.1
2,1899,24
3,1899,36.4
4,1899,48.6
5,1899,59.7
6,1899,70.8
7,1899,72.9
8,1899,70.8
9,1899,62.8
10,1899,54.8
11,1899,41.8
12,1899,33.3
1,1900,29.9
2,1900,28.8
3,1900,33.6
4,1900,49.3
5,1900,59.4
6,1900,69.4
7,1900,74.5
8,1900,75
9,1900,68.1
10,1900,58
11,1900,45.3
12,1900,31.7
1,1901,29.3
2,1901,23.5
3,1901,37.8
4,1901,46.8
5,1901,57.4
6,1901,68.9
7,1901,76.5
8,1901,72.8
9,1901,65.4
10,1901,52.8
11,1901,36.6
12,1901,30.7
1,1902,26.9
2,1902,25.9
3,1902,42.4
4,1902,48.9
5,1902,59.3
6,1902,66.7
7,1902,72.2
8,1902,69.1
9,1902,63.5
10,1902,54.5
11,1902,47.5
12,1902,30
1,1903,28.6
2,1903,32.1
3,1903,46.2
4,1903,49.4
5,1903,61.6
6,1903,63.1
7,1903,72.4
8,1903,67.5
9,1903,63.7
10,1903,54.3
11,1903,38
12,1903,27.1
1,1904,21.6
2,1904,23
3,1904,35.5
4,1904,45.5
5,1904,61.9
6,1904,67.6
7,1904,71.4
8,1904,69.6
9,1904,63.5
10,1904,50.2
11,1904,38.5
12,1904,25.6
1,1905,25.5
2,1905,22
3,1905,38.3
4,1905,48.6
5,1905,60.1
6,1905,67.4
7,1905,73.5
8,1905,70
9,1905,64.2
10,1905,53.7
11,1905,40
12,1905,34.5
