Month,Year,Temperature
1,1895,26.83333333
2,1895,22.13333333
3,1895,35.66666667
4,1895,48.5
5,1895,60.83333333
6,1895,72.26666667
7,1895,71.4
8,1895,75.23333333
9,1895,70.76666667
10,1895,51.1
11,1895,46.73333333
12,1895,38.56666667
1,1896,30.5
2,1896,34.33333333
3,1896,36.86666667
4,1896,56.4
5,1896,69.33333333
6,1896,72.76666667
7,1896,79.7
8,1896,78.43333333
9,1896,70.16666667
10,1896,57
11,1896,53.63333333
12,1896,37.16666667
1,1897,35.1
2,1897,39.03333333
3,1897,47.76666667
4,1897,57.9
5,1897,68.53333333
6,1897,74.66666667
7,1897,83.3
8,1897,80.13333333
9,1897,74.56666667
10,1897,65.1
11,1897,53.23333333
12,1897,45.06666667
1,1898,43
2,1898,43.53333333
3,1898,56.46666667
4,1898,59.2
5,1898,71.03333333
6,1898,82.56666667
7,1898,88.2
8,1898,87.63333333
9,1898,81.56666667
10,1898,69.6
11,1898,55.53333333
12,1898,46.96666667
1,1899,44.1
2,1899,40.33333333
3,1899,53.06666667
4,1899,65.6
5,1899,77.03333333
6,1899,88.46666667
7,1899,90.9
8,1899,89.13333333
9,1899,81.46666667
10,1899,73.8
11,1899,61.13333333
12,1899,52.96666667
1,1900,49.9
2,1900,49.13333333
3,1900,54.26666667
4,1900,70.3
5,1900,80.73333333
6,1900,91.06666667
7,1900,96.5
8,1900,97.33333333
9,1900,90.76666667
10,1900,81
11,1900,68.63333333
12,1900,55.36666667
1,1901,53.3
2,1901,47.83333333
3,1901,62.46666667
4,1901,71.8
5,1901,82.73333333
6,1901,94.56666667
7,1901,102.5
8,1901,99.13333333
9,1901,92.06666667
10,1901,79.8
11,1901,63.93333333
12,1901,58.36666667
1,1902,54.9
2,1902,54.23333333
3,1902,71.06666667
4,1902,77.9
5,1902,88.63333333
6,1902,96.36666667
7,1902,102.2
8,1902,99.43333333
9,1902,94.16666667
10,1902,85.5
11,1902,78.83333333
12,1902,61.66666667
1,1903,60.6
2,1903,64.43333333
3,1903,78.86666667
4,1903,82.4
5,1903,94.93333333
6,1903,96.76666667
7,1903,106.4
8,1903,101.8333333
9,1903,98.36666667
10,1903,89.3
11,1903,73.33333333
12,1903,62.76666667
1,1904,57.6
2,1904,59.33333333
3,1904,72.16666667
4,1904,82.5
5,1904,99.23333333
6,1904,105.2666667
7,1904,109.4
8,1904,107.9333333
9,1904,102.1666667
10,1904,89.2
11,1904,77.83333333
12,1904,65.26666667
1,1905,65.5
2,1905,62.33333333
3,1905,78.96666667
4,1905,89.6
5,1905,101.4333333
6,1905,109.0666667
7,1905,115.5
8,1905,112.3333333
9,1905,106.8666667
10,1905,96.7
11,1905,83.33333333
12,1905,78.16666667
