Set,TIME,JD Time,ndiv_PDCSAP_FLUX
10,916.5110799,8/11/23 12:15,1.039954472
10,916.531514,8/11/23 12:45,1.036714294
10,916.5519482,8/11/23 13:14,1.015114868
10,916.5723822,8/11/23 13:44,0.983111917
10,916.5928163,8/11/23 14:13,0.949949397
10,916.6132506,8/11/23 14:43,0.919278565
10,916.6336847,8/11/23 15:12,0.908771596
10,916.6541188,8/11/23 15:41,0.933392423
10,916.6745529,8/11/23 16:11,0.978095762
10,916.694987,8/11/23 16:40,1.02155746
10,916.7154211,8/11/23 17:10,1.060488108
10,916.7358552,8/11/23 17:39,1.087624818
10,916.7562893,8/11/23 18:09,1.093073365
10,916.7767234,8/11/23 18:38,1.074093927
10,916.7971575,8/11/23 19:07,1.036274217
10,916.8175915,8/11/23 19:37,0.989258103
10,916.8380257,8/11/23 20:06,0.941573108
10,916.8584599,8/11/23 20:36,0.90903342
10,916.8788939,8/11/23 21:05,0.90906554
10,916.8993281,8/11/23 21:35,0.937925334
10,916.9197622,8/11/23 22:04,0.975543256
10,916.9401964,8/11/23 22:33,1.011044667
10,916.9606304,8/11/23 23:03,1.03530875
10,916.9810645,8/11/23 23:32,1.040085535
10,917.0014987,8/12/23 0:02,1.025483029
10,917.0219327,8/12/23 0:31,0.996461614
10,917.0423668,8/12/23 1:01,0.963216002
10,917.062801,8/12/23 1:30,0.931000638
10,917.0832351,8/12/23 1:59,0.908789667
10,917.1036691,8/12/23 2:29,0.918943314
10,917.1241033,8/12/23 2:58,0.958650851
10,917.1445374,8/12/23 3:28,1.003574588
10,917.1649715,8/12/23 3:57,1.044475376
10,917.1854056,8/12/23 4:26,1.07785103
10,917.2058398,8/12/23 4:56,1.092844081
10,917.226274,8/12/23 5:25,1.083245543
10,917.246708,8/12/23 5:55,1.051997027
10,917.2671421,8/12/23 6:24,1.008053226
10,917.2875763,8/12/23 6:54,0.959733872
10,917.3080103,8/12/23 7:23,0.918413
10,917.3284444,8/12/23 7:52,0.904555504
10,917.3488785,8/12/23 8:22,0.924042861
10,917.3693126,8/12/23 8:51,0.960136425
10,917.3897468,8/12/23 9:21,0.997269963
10,917.4101809,8/12/23 9:50,1.02747064
10,917.4306149,8/12/23 10:20,1.04028522
10,917.4510491,8/12/23 10:49,1.032891329
10,917.4714831,8/12/23 11:18,1.0089978
10,917.4919172,8/12/23 11:48,0.976053817
10,917.5123514,8/12/23 12:17,0.943857185
10,917.5327854,8/12/23 12:47,0.915461544
10,917.5532195,8/12/23 13:16,0.910349328
10,917.5736537,8/12/23 13:46,0.940273651
10,917.5940877,8/12/23 14:15,0.985266432
10,917.6145218,8/12/23 14:44,1.027548809
10,917.634956,8/12/23 15:14,1.065453351
10,917.6553901,8/12/23 15:43,1.088858294
10,917.6758242,8/12/23 16:13,1.089737667
10,917.6962583,8/12/23 16:42,1.066248191
10,917.7166924,8/12/23 17:12,1.026217471
10,917.7371265,8/12/23 17:41,0.979170798
10,917.7575606,8/12/23 18:10,0.932702529
10,917.7779947,8/12/23 18:40,0.906182467
10,917.7984289,8/12/23 19:09,0.913189234
10,917.8188629,8/12/23 19:39,0.94534318
10,917.8597312,8/12/23 20:38,1.017756529
10,917.8801652,8/12/23 21:07,1.038781935
