Date,Value
189501,26.5
189502,21.8
189503,35
189504,47.5
189505,59.5
189506,70.6
189507,69.4
189508,72.9
189509,68.1
189510,48.1
189511,43.4
189512,34.9
189601,26.5
189602,30
189603,32.2
189604,51.4
189605,64
189606,67.1
189607,73.7
189608,72.1
189609,63.5
189610,50
189611,46.3
189612,29.5
189701,27.1
189702,30.7
189703,39.1
189704,48.9
189705,59.2
189706,65
189707,73.3
189708,69.8
189709,63.9
189710,54.1
189711,41.9
189712,33.4
189801,31
189802,31.2
189803,43.8
189804,46.2
189805,57.7
189806,68.9
189807,74.2
189808,73.3
189809,66.9
189810,54.6
189811,40.2
189812,31.3
189901,28.1
189902,24
189903,36.4
189904,48.6
189905,59.7
189906,70.8
189907,72.9
189908,70.8
189909,62.8
189910,54.8
189911,41.8
189912,33.3
190001,29.9
190002,28.8
190003,33.6
190004,49.3
190005,59.4
190006,69.4
190007,74.5
190008,75
190009,68.1
190010,58
190011,45.3
190012,31.7
190101,29.3
190102,23.5
190103,37.8
190104,46.8
190105,57.4
190106,68.9
190107,76.5
190108,72.8
190109,65.4
190110,52.8
190111,36.6
190112,30.7
190201,26.9
190202,25.9
190203,42.4
190204,48.9
190205,59.3
190206,66.7
190207,72.2
190208,69.1
190209,63.5
190210,54.5
190211,47.5
190212,30
190301,28.6
190302,32.1
190303,46.2
190304,49.4
190305,61.6
190306,63.1
190307,72.4
190308,67.5
190309,63.7
190310,54.3
190311,38
190312,27.1
190401,21.6
190402,23
190403,35.5
190404,45.5
190405,61.9
190406,67.6
190407,71.4
190408,69.6
190409,63.5
190410,50.2
190411,38.5
190412,25.6
190501,25.5
190502,22
190503,38.3
190504,48.6
190505,60.1
190506,67.4
190507,73.5
190508,70
190509,64.2
190510,53.7
190511,40
190512,34.5
190601,34.7
190602,29.2
190603,33
190604,50.1
190605,60.4
190606,69.8
190607,72.3
190608,73.8
190609,67.5
190610,53.2
190611,41.7
190612,31.8
190701,30.4
190702,22
190703,39.5
190704,43.8
190705,54.2
190706,63.5
190707,72.5
190708,69.3
190709,65.6
190710,48.8
190711,41.4
190712,34.6
190801,29.8
190802,26.5
190803,40.5
190804,50
190805,60.7
190806,68.8
190807,74.7
190808,69.8
190809,64.4
190810,55.9
190811,41.4
190812,32.6
190901,31.6
190902,36.6
190903,36.7
190904,48.9
190905,59.2
190906,69
190907,70.6
190908,69.2
190909,63
190910,49.5
190911,44.6
190912,28
191001,28.3
191002,29.3
191003,43.2
191004,52.2
191005,58.7
191006,65.9
191007,74.1
191008,69.3
191009,65.9
191010,55.4
191011,38.2
191012,24.9
191101,31.9
191102,29.8
191103,36.1
191104,45.9
191105,63.5
191106,68
191107,74.8
191108,71.2
191109,65.2
191110,52.6
191111,39.4
191112,36.8
191201,20.8
191202,26.3
191203,35.7
191204,49
191205,60.8
191206,67
191207,72.5
191208,69
191209,64.9
191210,55.6
191211,43.5
191212,35.4
191301,38.2
191302,29.3
191303,43.6
191304,51
191305,59.4
191306,68.2
191307,73.3
191308,70.6
191309,63.4
191310,56.3
191311,44.4
191312,36
191401,30.3
191402,24.4
191403,33.6
191404,47.2
191405,61.9
191406,67.7
191407,70.6
191408,72.3
191409,62.7
191410,56.6
191411,41.4
191412,29.3
191501,31.6
191502,33.9
191503,34.5
191504,53.3
191505,56.9
191506,65.9
191507,71.8
191508,69.8
191509,67.1
191510,54.6
191511,42
191512,30.3
191601,33.7
191602,26.7
191603,30.4
191604,47.3
191605,60.8
191606,63.9
191607,73.4
191608,72.3
191609,63.9
191610,53.7
191611,41.6
191612,30.5
191701,29.9
191702,26.8
191703,36.9
191704,47.9
191705,53.1
191706,68
191707,73.1
191708,72.9
191709,60.2
191710,49.4
191711,38
191712,23.7
191801,18.7
191802,27.8
191803,40.6
191804,48.7
191805,64
191806,65.5
191807,71.3
191808,73.4
191809,60.9
191810,55.9
191811,42.2
191812,36.2
191901,32.6
191902,32.1
191903,42.1
191904,48.5
191905,60.2
191906,68.8
191907,72.9
191908,69
191909,64.7
191910,58.1
191911,42.1
191912,27.6
192001,22.4
192002,26.7
192003,38.5
192004,47.1
192005,56.3
192006,67.7
192007,70.9
192008,71.6
192009,65.6
192010,57.6
192011,41.3
192012,35
192101,31.8
192102,32.7
192103,48.4
192104,55.3
192105,59
192106,69.4
192107,75.5
192108,68.7
192109,69.1
192110,52.9
192111,42.6
192112,31.1
192201,26.2
192202,32.3
192203,40
192204,49.6
192205,62
192206,70.2
192207,72
192208,69.8
192209,65.5
192210,55.4
192211,42.6
192212,31.4
192301,29
192302,24.8
192303,37.1
192304,48.6
192305,58
192306,71.3
192307,70.7
192308,69.5
192309,65.5
192310,52.3
192311,41.1
192312,39.5
192401,30.8
192402,27.3
192403,37.5
192404,46.8
192405,55.7
192406,65.8
192407,71.2
192408,70.9
192409,60.8
192410,53
192411,41.1
192412,31.6
192501,26.1
192502,36.3
192503,41.9
192504,50.5
192505,56.6
192506,73
192507,71.3
192508,70
192509,66.8
192510,47.7
192511,40.2
192512,32.5
192601,29.1
192602,28.4
192603,33.9
192604,45.3
192605,58.3
192606,64
192607,72.1
192608,71.7
192609,63.6
192610,51.9
192611,40.9
192612,27.3
192701,27.9
192702,34.9
192703,41
192704,46.4
192705,57.3
192706,64.5
192707,71.8
192708,66.2
192709,64.6
192710,55.4
192711,46.4
192712,34.3
192801,30.9
192802,30.6
192803,37.2
192804,46.2
192805,57.1
192806,66.1
192807,73.4
192808,73.8
192809,61.4
192810,54.7
192811,43.6
192812,34.8
192901,29.4
192902,30.2
192903,44.1
192904,50.4
192905,59
192906,68.9
192907,72.2
192908,69
192909,66
192910,51
192911,42.9
192912,32.5
193001,30.5
193002,34.5
193003,38.9
193004,46.5
193005,61.7
193006,70.3
193007,73.6
193008,70.2
193009,68.6
193010,51.2
193011,42.6
193012,31.7
193101,30.3
193102,32.1
193103,37.8
193104,48.6
193105,59.6
193106,68.5
193107,75.9
193108,72.4
193109,69.6
193110,57.2
193111,48.7
193112,38.4
193201,41
193202,34.3
193203,35.2
193204,47.2
193205,59.7
193206,68.4
193207,73
193208,72.5
193209,65.4
193210,55
193211,40.4
193212,34.8
193301,37.3
193302,32.1
193303,36.9
193304,49.3
193305,62.5
193306,70.2
193307,72.6
193308,71.8
193309,67
193310,52.6
193311,39.2
193312,30.8
193401,32.4
193402,17.2
193403,35.3
193404,48.4
193405,61.5
193406,71.8
193407,75
193408,69
193409,66.2
193410,51.7
193411,45.7
193412,31.7
193501,27
193502,28.9
193503,42.1
193504,47.3
193505,56.6
193506,68
193507,75.1
193508,71.7
193509,62.4
193510,53.5
193511,46.1
193512,27.3
193601,25.6
193602,22.7
193603,44
193604,46.8
193605,62
193606,68
193607,73.4
193608,73.2
193609,65.8
193610,54.3
193611,39.5
193612,36.1
193701,38
193702,32.5
193703,34.6
193704,48.1
193705,61.4
193706,69.5
193707,73.5
193708,74.2
193709,62.2
193710,52
193711,42.1
193712,31.8
193801,29.8
193802,34.1
193803,42
193804,51.8
193805,58.2
193806,67.5
193807,73.6
193808,74
193809,62.6
193810,54.7
193811,44.3
193812,33.6
193901,29.6
193902,35.2
193903,38.4
193904,47.1
193905,62.2
193906,69.9
193907,72.3
193908,74.1
193909,65.2
193910,53.6
193911,39.8
193912,33.9
194001,20.5
194002,30.3
194003,33.2
194004,44.5
194005,58.8
194006,67.8
194007,73.1
194008,68.4
194009,62.3
194010,49.7
194011,42
194012,35.9
194101,28
194102,28
194103,33.2
194104,54.4
194105,61.8
194106,68.5
194107,73
194108,70.1
194109,66.7
194110,58
194111,45.2
194112,36
194201,27.7
194202,28.2
194203,41
194204,52.1
194205,63.4
194206,69.1
194207,73.7
194208,70.5
194209,65.2
194210,54.7
194211,43.4
194212,28.8
194301,28.9
194302,31.7
194303,38.5
194304,44.5
194305,60.9
194306,73.6
194307,73.3
194308,72.4
194309,63.8
194310,52.2
194311,40.9
194312,30.1
194401,31.2
194402,31
194403,36.1
194404,47
194405,64.6
194406,69.7
194407,74.9
194408,73.2
194409,65.9
194410,52.6
194411,42.3
194412,29.4
194501,23
194502,30.8
194503,48.8
194504,53.3
194505,57.7
194506,68.8
194507,72.6
194508,70.2
194509,67.9
194510,52.8
194511,44.8
194512,27.6
194601,31.2
194602,31
194603,46.8
194604,49
194605,60
194606,67
194607,72.2
194608,68.2
194609,66.4
194610,57.5
194611,46.7
194612,35.5
194701,35.6
194702,26.7
194703,34.9
194704,49.4
194705,59.1
194706,66.6
194707,72.7
194708,73.4
194709,65.9
194710,59.2
194711,40.1
194712,30.8
194801,22.8
194802,28.3
194803,41
194804,49.4
194805,59.1
194806,68.1
194807,73.8
194808,72.2
194809,65.3
194810,52.5
194811,48.2
194812,34.5
194901,36.7
194902,36.7
194903,41
194904,50.4
